URUN_KODU;TARIH;MIKTAR
URUN-17;2015-11-01;5334
URUN-17;2015-12-01;11652
URUN-17;2016-01-01;7230
URUN-17;2016-02-01;17418
URUN-17;2016-03-01;2172
URUN-17;2016-04-01;9402
URUN-17;2016-05-01;5070
URUN-17;2016-06-01;9078
URUN-17;2016-07-01;13962
URUN-17;2016-08-01;6996
URUN-17;2016-09-01;4872
URUN-17;2016-10-01;4020
URUN-17;2016-11-01;19374
URUN-17;2016-12-01;15078
URUN-17;2017-01-01;2868
URUN-17;2017-02-01;5046
URUN-17;2017-03-01;5034
URUN-17;2017-04-01;2358
URUN-17;2017-05-01;9546
URUN-17;2017-06-01;5562
URUN-17;2017-07-01;5496
URUN-17;2017-08-01;5676
URUN-17;2017-09-01;882
URUN-17;2017-10-01;1320
URUN-17;2017-11-01;11262
URUN-17;2017-12-01;2790
URUN-17;2018-01-01;1236
URUN-17;2018-02-01;2448
URUN-17;2018-03-01;4854
URUN-17;2018-04-01;492
URUN-17;2018-05-01;2790
URUN-17;2018-06-01;15390
URUN-17;2018-07-01;1086
URUN-17;2018-08-01;1254
URUN-17;2018-09-01;4914
URUN-17;2018-10-01;4896
URUN-17;2018-11-01;7380
URUN-17;2018-12-01;1062
URUN-18;2017-01-01;60
URUN-18;2017-02-01;0
URUN-18;2017-03-01;162
URUN-18;2017-04-01;0
URUN-18;2017-05-01;42
URUN-18;2017-06-01;114
URUN-18;2017-07-01;30
URUN-18;2017-08-01;576
URUN-18;2017-09-01;924
URUN-18;2017-10-01;0
URUN-18;2017-11-01;648
URUN-18;2017-12-01;414
URUN-18;2018-01-01;48
URUN-18;2018-02-01;42
URUN-18;2018-03-01;336
URUN-18;2018-04-01;60
URUN-18;2018-05-01;0
URUN-18;2018-06-01;222
URUN-18;2018-07-01;474
URUN-18;2018-08-01;84
URUN-18;2018-09-01;558
URUN-18;2018-10-01;330
URUN-18;2018-11-01;1074
URUN-18;2018-12-01;258
URUN-19;2015-03-01;24627
URUN-19;2015-04-01;9930
URUN-19;2015-05-01;5881
URUN-19;2015-06-01;6270
URUN-19;2015-07-01;18598
URUN-19;2015-08-01;10370
URUN-19;2015-09-01;15872
URUN-19;2015-10-01;19289
URUN-19;2015-11-01;2480
URUN-19;2015-12-01;6653
URUN-19;2016-01-01;16422
URUN-19;2016-02-01;35436
URUN-19;2016-03-01;23890
URUN-19;2016-04-01;18240
URUN-19;2016-05-01;14788
URUN-19;2016-06-01;10780
URUN-19;2016-07-01;55743
URUN-19;2016-08-01;3527
URUN-19;2016-09-01;26870
URUN-19;2016-10-01;6960
URUN-19;2016-11-01;4482
URUN-19;2016-12-01;5241
URUN-19;2017-01-01;3412
URUN-19;2017-02-01;6351
URUN-19;2017-03-01;6761
URUN-19;2017-04-01;4825
URUN-19;2017-05-01;2531
URUN-19;2017-06-01;4463
URUN-19;2017-07-01;1581
URUN-19;2017-08-01;7182
URUN-19;2017-09-01;3690
URUN-19;2017-10-01;5163
URUN-19;2017-11-01;6060
URUN-19;2017-12-01;3196
URUN-19;2018-01-01;8920
URUN-19;2018-02-01;6545
URUN-19;2018-03-01;16580
URUN-19;2018-04-01;12442
URUN-19;2018-05-01;18186
URUN-19;2018-06-01;4970
